Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s a1 l' u0 d + n + a4,2,"gtb0214,gtb0285"
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s a1 l' u0 t + n +,1,ktb1080
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s a1 l' u0 t + n + a4,13,"ctb0214,ctb0285,ctb1129,ctb1771,ktb0285,otb0285,otd0274,stb0214,atb0214,atb0285,atd0257,atb1129,atb1771"
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s a1 l' u0 t + n + e4,1,utb0214
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s a1 l' u0 t + n + y4,16,"cta1021,cta1107,ctb0972,ctb1080,kta1107,ktb0972,ktb1129,ktb1771,ktb0214,otb0214,otd0257,atd0274,ata1107,atb0972,atb1080,mtb0214"
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s e1 l' u0 t + n + a4,2,"stb0285,mtb0285"
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a1 p s e1 l' u0 t + n + y4,1,kta1021
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* a2 p s a1 l' u0 t + n + a4,1,ata1021
абсолютно,*абсолют+н+о,* a1 p s a1 l' u0 t + n + a4,* e1 p s a1 l' u0 t + n + y4,1,utb0285
абхазец,*абхаз+ец,* a1 p h a0 z' + i4 c,* a1 p h a0 z' + i4 c,6,"cta0927,cta0927,kta0927,kta0927,ata0927,ata0927"
август,*август,* a0 v g u4 s t,* a0 f k u4 s t,1,ata0918
август,*август,* a0 v g u4 s t,* a0 v g u4 s t,2,"cta0918,kta0918"
августе,*август/е,* a0 v g u4 s' t' / i4,* a0 v g u4 s' t' / e4,2,"cta0909,kta0167"
августе,*август/е,* a0 v g u4 s' t' / i4,* a0 v g u4 s' t' / i4,8,"cta0167,gta0167,kta0909,ota0167,sta0167,uta0167,ata0167,mta0167"
августе,*август/е,* a0 v g u4 s' t' / i4,* a0 v k u4 s' t' / e4,1,ata0909
автобиографии,*авто*био*графи/и,* a1 f t a2 * b' i1 a1 * g r a0 f' i4 / i4,* a1 f t e1 * b' e1 a1 * g r a0 f' i4 / i4,1,cta1089
автобиографии,*авто*био*графи/и,* a1 f t a2 * b' i1 a1 * g r a0 f' i4 / i4,* a1 f t y1 * b' e1 a1 * g r a0 f' i4 / i4,2,"kta1089,ata1089"
автобусе,*автобус/е,* a1 f t o0 b u4 s' / i4,* a1 f t o0 b u4 s' / e4,3,"cta0736,kta0736,ata0737"
автобусе,*автобус/е,* a1 f t o0 b u4 s' / i4,* a1 f t o0 b u4 s' / i4,3,"cta0737,kta0737,ata0736"
автобусной,*автобус+н/ой,* a1 f t o0 b u4 s + n / a4 j,* a1 f t o0 b u4 s + n / a4 j,1,ata0739
автобусной,*автобус+н/ой,* a1 f t o0 b u4 s + n / a4 j,* a1 f t o0 b u4 s + n / y4,2,"cta0739,kta0739"
автобусом,*автобус/ом,* a1 f t o0 b u4 s / a4 m,* a1 f t o0 b u4 s / a4 m,4,"kta0696,kta0730,ata0696,ata0730"
автобусом,*автобус/ом,* a1 f t o0 b u4 s / a4 m,* a1 f t o0 b u4 s / m,1,cta0696
автобусом,*автобус/ом,* a1 f t o0 b u4 s / a4 m,* a1 f t o0 b u4 s / y4 m,1,cta0730
автомат,*автомат,* a1 f t a1 m a0 t,* a1 f t a1 m a0 t,6,"ctb1900,ctb1901,ktb1900,ktb1901,atb1900,atb1901"
автомата,*автомат/а,* a1 f t a1 m a0 t / a4,* a1 f t a1 m a0 t / a4,8,"cta0270,ctb1449,ctb1905,ktb1449,ota0270,uta0270,atb1449,atb1905"
автомата,*автомат/а,* a1 f t a1 m a0 t / a4,* a1 f t a1 m a0 t / e4,1,kta0270
автомата,*автомат/а,* a1 f t a1 m a0 t / a4,* a2 f t a1 m a0 t / a4,1,ata0270
автомата,*автомат/а,* a1 f t a1 m a0 t / a4,* e1 f t a1 m a0 t / a4,1,mta0270
автомата,*автомат/а,* a1 f t a1 m a0 t / a4,* e1 f t a1 m a0 t / y4,1,sta0270
автомата,*автомат/а,* a1 f t a1 m a0 t / a4,* y1 f t a1 m a0 t / a4,1,ktb1905
автомата,*автомат/а,* a2 f t a1 m a0 t / a4,* e1 f t a1 m a0 t / a4,1,gta0270
автоматически,*автомат+ич+еск+и,* a1 f t a2 m a1 t' + i0 ch + i4 s k' + i4,* a1 f t o1 m a1 t' + i0 ch + s k' + i4,1,ata0881
автоматически,*автомат+ич+еск+и,* a1 f t a2 m a1 t' + i0 ch + i4 s k' + i4,* a1 f t y1 m a1 t' + i0 ch + i4 s k' + i4,1,kta0881
автоматически,*автомат+ич+еск+и,* a2 f t a2 m a1 t' + i0 ch + i4 s k' + i4,* a2 f t y1 m a1 t' + i0 ch + i4 s k' + i4,1,cta0881
автоматная,*автомат+н/ая,* a1 f t a1 m a0 t + n / a4 j a4,* a1 f t a1 m a0 t + n / e4 e4,3,"ctb1917,ktb1917,atb1917"
автоматов,*автомат/ов,* a1 f t a1 m a0 t / a4 f,* a1 f t a1 m a0 t / a4 f,3,"cta0503,kta0503,ata0503"
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t a2 m a1 b' i0 l' / e4,1,ctb1441
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t a2 m a1 b' i0 l' / i4,1,sta0332
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t y1 m a1 b' i0 l' / i4,3,"ktb1441,ota0332,ata0332"
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* a2 f t a2 m a1 b' i0 l' / i4,1,atb1441
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* a2 f t e1 m a1 b' i0 l' / i4,1,mta0332
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* o1 f t a2 m a1 b' i0 l' / e4,1,gta0332
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* u1 f t y1 m a1 b' i0 l' / e4,1,uta0332
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* y1 f t y1 m a1 b' i0 l' / e4,1,cta0332
автомобиле,*автомобил/е,* a1 f t a2 m a1 b' i0 l' / i4,* y1 f t y1 m a1 b' i0 l' / i4,1,kta0332
автомобили,*автомобил/и,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t a2 m a1 b' i0 l' / a4,1,gta0273
автомобили,*автомобил/и,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t a2 m a1 b' i0 l' / e4,1,cta0273
автомобили,*автомобил/и,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t a2 m a1 b' i0 l' / i4,2,"kta0273,sta0273"
автомобили,*автомобил/и,* a1 f t a2 m a1 b' i0 l' / i4,* a1 f t y1 m a1 b' i0 l' / i4,3,"ota0273,uta0273,ata0273"
автомобили,*автомобил/и,* a2 f t a2 m a1 b' i0 l' / i4,* a2 f t a2 m a1 b' i0 l' / i4,1,mta0273
автомобильной,*автомобиль+н/ой,* a1 f t a2 m a1 b' i0 l' + n / a4 j,* a1 f t a2 m a1 b' i0 l' + n / e4,1,ata0766
автомобильной,*автомобиль+н/ой,* a1 f t a2 m a1 b' i0 l' + n / a4 j,* a1 f t y1 m a1 b' i0 l' + n / y4,2,"cta0766,kta0766"
агаты,*агат/ы,* a1 g a0 t / y4,* a1 g a0 t / y4,3,"cta0944,kta0944,ata0944"
адама,*адам/а,* a1 d a0 m / a4,* a1 d a0 m / a4,2,"kta0546,ata0546"
адама,*адам/а,* a1 d a0 m / a4,* a1 d a0 m / o4,1,cta0546
адвокаты,*адвокат/ы,* a1 d v a1 k a0 t / y4,* a1 d v a1 k a0 t / e4,1,kta1079
адвокаты,*адвокат/ы,* a1 d v a1 k a0 t / y4,* a1 d v a1 k a0 t / y4,2,"cta1079,ata1079"
административной,*администр+ат+ивн/ой,* a1 d m' i1 n' i1 s t r + a1 t' + i0 v n / a4 j,* a1 d m' i1 n' i1 s t r + a1 t' + i0 v n / y4,1,kta0875
