Слово,Орфоэпическая транскрипция,Слово с ударением
абсолютно,* a1 p s a1 l' u0 t + n + a4,абсолю0тно
абхазец,* a1 p h a0 z' + i4 c,абха0зец
август,* a0 v g u4 s t,а0вгуст
августе,* a0 v g u4 s' t' / i4,а0вгусте
автобиографии,* a1 f t a2 * b' i1 a1 * g r a0 f' i4 / i4,автобиогра0фии
автобусе,* a1 f t o0 b u4 s' / i4,авто0бусе
автобусной,* a1 f t o0 b u4 s + n / a4 j,авто0бусной
автобусом,* a1 f t o0 b u4 s / a4 m,авто0бусом
автомат,* a1 f t a1 m a0 t,автома0т
автомата,* a1 f t a1 m a0 t / a4,автома0та
автоматически,* a1 f t a2 m a1 t' + i0 ch + i4 s k' + i4,автомати0чески
автоматная,* a1 f t a1 m a0 t + n / a4 j a4,автома0тная
автоматов,* a1 f t a1 m a0 t / a4 f,автома0тов
автомобиле,* a1 f t a2 m a1 b' i0 l' / i4,автомоби0ле
автомобили,* a1 f t a2 m a1 b' i0 l' / i4,автомоби0ли
автомобильной,* a1 f t a2 m a1 b' i0 l' + n / a4 j,автомоби0льной
агаты,* a1 g a0 t / y4,ага0ты
адама,* a1 d a0 m / a4,ада0ма
адвокаты,* a1 d v a1 k a0 t / y4,адвока0ты
административной,* a1 d m' i1 n' i1 s t r + a1 t' + i0 v n / a4 j,администрати0вной
адреса,* a0 d r' i4 s / a4,а0дреса
адресованном,* a1 d r' i1 s + o0 v a4 + n / a4 m,адресо0ванном
адресу,* a0 d r' i4 s / u4,а0дресу
академической,* a1 k a2 d' i1 m' + i0 ch + i4 + s k / a4 j,академи0ческой
аккуратная,* a1 k u1 r a0 t + n / a4 j a4,аккура0тная
аккуратно,* a1 k u1 r a0 t + n + a4,аккура0тно
аккуратный,* a1 k u1 r a0 t + n / y4 j,аккура0тный
аксиому,* a1 k s' i1 o0 m / u4,аксио0му
алебастром,* a1 l' i1 b a0 s t r / a4 m,алеба0стром
алексеевич,* a1 l' i1 k s' + e0 + j i4 v + i4 ch,алексе0евич
алексеевича,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / a4,алексе0евича
алексеевичем,* a1 l' i1 k s' + e0 + j i4 v' + i4 ch / i4 m,алексе0евичем
алексеевна,* a1 l' i1 k s' + e0 + i4 + v / n,алексе0евна
алексеевной,* a1 l' i1 k s' + e0 + j i4 v + n / a4 j,алексе0евной
алексеевны,* a1 l' i1 k s' + e0 + - - v + n / y4,алексе0евны
алексей,* a1 l' i1 k s' + e0 j,алексе0й
алексея,* a1 l' i1 k s' + e0 / j a4,алексе0я
алексин,* a1 l' e0 k s' + i4 n,але0ксин
алик,* a0 l' i4 g,а0лик
амбиция,* a1 m b' i0 c y4 j / a4,амби0ция
аналогичного,* a1 n a2 l a1 g' + i0 ch + n / a4 v a4,аналоги0чного
анатолий,* a1 n a1 t o0 l' + i4 j,анато0лий
английский,* a1 n g l' i0 j + s k' / i4 j,англи0йский
английским,* a1 n g l' i0 j + s k' / i4 m,англи0йским
английских,* a1 n g l' i0 j + s k' / i4 h,англи0йских
английского,* a1 n g l' i0 j + s k / a4 v a4,англи0йского
андреевна,* a1 n d r' e0 - + i4 v + n / a4,андре0евна
андрюше,* a1 n d r' + u0 sh / y4,андрю0ше
антонины,* a1 n t a1 n' + i0 n / y4,антони0ны
апоплексическим,* a1 p a2 p l' i1 k s' + i0 ch + i4 + s k' / i4 m,апоплекси0ческим
аппарат,* a1 p a1 r a0 d,аппара0т
арбитра,* a1 r b' i0 t r / a4,арби0тра
аргентинской,* a1 r g' i1 n' t' i0 n + s k / a4 j,аргенти0нской
арии,* a0 r' i4 / i4,а0рии
арий,* a0 r' i4 j,а0рий
арию,* a0 r' i4 j / u4,а0рию
арки,* a0 r k' / i4,а0рки
артистов,* a1 r t' i0 s t + a4 f,арти0стов
артисты,* a1 r t' i0 s t / y4,арти0сты
архитектор,* a1 r h' i1 t' e0 k t + a4 r,архите0ктор
архитекторы,* a1 r h' i1 t' e0 k t + a4 r / y4,архите0кторы
архитектура,* a1 r h' i1 t' i1 k t + u0 r / a4,архитекту0ра
архитектурная,* a1 r h' i1 t' i1 k t + u0 r + n / a4 j a4,архитекту0рная
архитектурной,* a1 r h' i1 t' i1 k t + u0 r + n / a4 j,архитекту0рной
аспирантуре,* a1 s p' i1 r a1 n t + u0 r' / i4,аспиранту0ре
аспирантуру,* a1 s p' i1 r a1 n t + u0 r / u4,аспиранту0ру
ассенизаторами,* a1 s' i1 n' i1 z + a0 + t a4 r / a4 m' i4,ассениза0торами
аудиенции,* a1 u1 d' i1 j e0 n c y4 / i4,аудие0нции
ах,* a0 h,а0х
ахнула,* a0 h + n u4 + l / a4,а0хнула
баба,* b a0 b / a4,ба0ба
бабушка,* b a0 b + u4 sh k / a4,ба0бушка
бабушки,* b a0 b + u4 sh k' / i4,ба0бушки
базаром,* b a1 z a0 r / a4 m,база0ром
базе,* b a0 z' / i4,ба0зе
балаганами,* b a2 l a1 g a0 n / a4 m' i4,балага0нами
